jittered_title,seed_title,onet_code,onet_name
"Senior SQA Engineer - Automated Testing (Java, Python)",Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
Software Quality Assurance Engineer (SQA) - Cloud-Based Products,Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
Quality Assurance Engineer (Manual/Automation Testing) - E-Commerce,Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
SQA Engineer - DevOps & Agile Methodologies,Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
Lead Software Quality Assurance Engineer - Cybersecurity Focus,Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
Senior Cost Estimator - Large Scale Construction Projects,Cost Estimator,13-1051.00,Cost Estimators
Cost Estimator - Commercial Building & Development,Cost Estimator,13-1051.00,Cost Estimators
"Estimator - Heavy Civil Construction (Highway, Bridge, Rail)",Cost Estimator,13-1051.00,Cost Estimators
Pre-Construction Cost Estimator - Luxury Residential,Cost Estimator,13-1051.00,Cost Estimators
Cost Estimator - Industrial & Manufacturing Facilities,Cost Estimator,13-1051.00,Cost Estimators
Custom Sewer & Alterations Specialist - High-End Fashion,Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Tailor/Sewer - Custom Clothing & Alterations (Part-Time),Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Experienced Custom Sewer Wanted - Haute Couture & Bespoke,Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Sewer - Custom Upholstery & Furniture (Workroom Assistant),Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Custom Sewing & Embroidery Specialist - Uniforms & Apparel,Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
"Mobile Heavy Equipment Mechanic - On-Site Repairs (Crane, Excavator)",Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Heavy Equipment Mechanic - Field Service Technician (Mining Industry),Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Mobile Equipment Mechanic - Agricultural & Farm Equipment,Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Heavy Duty Truck & Equipment Mechanic - Shop & Mobile Repair,Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
"Field Service Mechanic - Heavy Construction Equipment (Crawler, Wheel Loader)",Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Senior Design Editor - Digital Media & Publishing,Design Editor,43-9031.00,Desktop Publishers
Design Editor - Branding & Visual Identity (Creative Agency),Design Editor,43-9031.00,Desktop Publishers
Editorial Designer - Magazine & Online Content (Part-Time),Design Editor,43-9031.00,Desktop Publishers
Graphic Design Editor - Marketing Materials & Campaigns,Design Editor,43-9031.00,Desktop Publishers
Visual Design Editor - User Experience (UX) & User Interface (UI),Design Editor,43-9031.00,Desktop Publishers
Forklift Operator - 2nd Shift - $18.50/hr + Benefits,Forklift Driver,53-7051.00,Industrial Truck and Tractor Operators
Reach Truck/Forklift Driver - Warehouse Operations (Day Shift),Forklift Driver,53-7051.00,Industrial Truck and Tractor Operators
Forklift Driver Wanted - No Experience Necessary (Training Provided),Forklift Driver,53-7051.00,Industrial Truck and Tractor Operators
Night Shift Forklift Operator - Forklift Certification Required,Forklift Driver,53-7051.00,Industrial Truck and Tractor Operators
Material Handler/Forklift Driver - Manufacturing Environment (Temporary),Forklift Driver,53-7051.00,Industrial Truck and Tractor Operators
Director of Sustainability Programs & Partnerships - Remote Option,Sustainability Programs Director,11-1011.03,Chief Sustainability Officers
Sustainability Programs Director - Climate Action Initiatives,Sustainability Programs Director,11-1011.03,Chief Sustainability Officers
"Senior Director, Sustainability - Global Programs & Engagement",Sustainability Programs Director,11-1011.03,Chief Sustainability Officers
"Director, Environmental Sustainability & Social Responsibility Programs",Sustainability Programs Director,11-1011.03,Chief Sustainability Officers
"VP, Sustainability Programs & Strategic Initiatives - Renewable Energy Focus",Sustainability Programs Director,11-1011.03,Chief Sustainability Officers
Community Development Planner - Urban Planning & Design,Community Planner,19-3051.00,Urban and Regional Planners
Senior Community Planner - Transportation & Land Use,Community Planner,19-3051.00,Urban and Regional Planners
Community Planner (Contract) - Social & Economic Development,Community Planner,19-3051.00,Urban and Regional Planners
Long Range Community Planner - City Planning Department,Community Planner,19-3051.00,Urban and Regional Planners
Community Engagement & Planning Manager - Non-Profit Organization,Community Planner,19-3051.00,Urban and Regional Planners
Licensed Senior Reactor Operator (SRO) - Nuclear Power Plant,Licensed Nuclear Operator,19-4051.00,Nuclear Technicians
Nuclear Control Room Operator - Shift Work & Weekend Rotation,Licensed Nuclear Operator,19-4051.00,Nuclear Technicians
Licensed Nuclear Operator - Operations Training Instructor,Licensed Nuclear Operator,19-4051.00,Nuclear Technicians
Reactor Operator (RO) - Nuclear Energy Facility (Entry-Level),Licensed Nuclear Operator,19-4051.00,Nuclear Technicians
Senior Licensed Operator - Nuclear Power Generation & Safety,Licensed Nuclear Operator,19-4051.00,Nuclear Technicians
Financial Aid Counselor/Advisor - Higher Education Institution,Financial Aid Counselor,13-2072.00,Loan Officers
Senior Financial Aid Counselor - Scholarship & Grant Programs,Financial Aid Counselor,13-2072.00,Loan Officers
Financial Aid Specialist/Counselor - Student Affairs Department,Financial Aid Counselor,13-2072.00,Loan Officers
Financial Aid Counselor (Part-Time) - Community College Setting,Financial Aid Counselor,13-2072.00,Loan Officers
"Assistant Director, Financial Aid & Scholarships - University Enrollment Management",Financial Aid Counselor,13-2072.00,Loan Officers
Banquet Server - Part Time (Multiple Shifts Available),Banquet Server,35-3031.00,Waiters and Waitresses
FT Banquet Server - Luxury Hotel Chain,Banquet Server,35-3031.00,Waiters and Waitresses
"Server, Banquet (On-Call) - $15-$20/hour",Banquet Server,35-3031.00,Waiters and Waitresses
Banquet Server - High Volume Events - $18-$25/hour,Banquet Server,35-3031.00,Waiters and Waitresses
Luxury Banquet Server - Upscale Events (Experience Required),Banquet Server,35-3031.00,Waiters and Waitresses
"Tree Planter - Forestry (Seasonal, Remote Work)",Tree Planter,45-4011.00,Forest and Conservation Workers
Tree Planting Laborer - $18-$22/hour (Room & Board Included),Tree Planter,45-4011.00,Forest and Conservation Workers
Experienced Tree Planter Wanted - Reforestation Efforts,Tree Planter,45-4011.00,Forest and Conservation Workers
Summer Tree Planter - Student Opportunity (Scholarship Available),Tree Planter,45-4011.00,Forest and Conservation Workers
Tree Planter - Silviculture - Apply Now for Spring Season,Tree Planter,45-4011.00,Forest and Conservation Workers
Resource Analyst (Financial Planning & Analysis) - Corporate Office,Resource Analyst,15-1299.02,Geographic Information Systems Technologists and Technicians
Senior Resource Analyst - IT Project Management,Resource Analyst,15-1299.02,Geographic Information Systems Technologists and Technicians
Resource Allocation Analyst - Global Supply Chain,Resource Analyst,15-1299.02,Geographic Information Systems Technologists and Technicians
Business Resource Analyst - Data-Driven Insights (Excel Required),Resource Analyst,15-1299.02,Geographic Information Systems Technologists and Technicians
Operations Resource Analyst - Process Improvement Focus,Resource Analyst,15-1299.02,Geographic Information Systems Technologists and Technicians
"Snack Bar Attendant - Concessions (Part-Time, Events)",Snack Bar Attendant,35-3023.00,Fast Food and Counter Workers
Concession Stand Worker - Snack Bar Attendant (Flexible Hours),Snack Bar Attendant,35-3023.00,Fast Food and Counter Workers
Snack Bar Staff - Cash Handling Experience Required,Snack Bar Attendant,35-3023.00,Fast Food and Counter Workers
Snack Bar Attendant - Food Service - Theme Park,Snack Bar Attendant,35-3023.00,Fast Food and Counter Workers
Part-Time Snack Bar Attendant - Afternoons & Weekends,Snack Bar Attendant,35-3023.00,Fast Food and Counter Workers
Materials Research Engineer - Nanotechnology (PhD Required),Materials Research Engineer,17-2131.00,Materials Engineers
Senior Materials Engineer - Research & Development,Materials Research Engineer,17-2131.00,Materials Engineers
Materials Scientist/Engineer - Biomaterials Focus,Materials Research Engineer,17-2131.00,Materials Engineers
Advanced Materials Research Engineer - Aerospace Industry,Materials Research Engineer,17-2131.00,Materials Engineers
Materials Research Engineer - Polymer Chemistry (Postdoctoral Position),Materials Research Engineer,17-2131.00,Materials Engineers
School District Treasurer - Financial Management,School Treasurer,11-3031.01,Treasurers and Controllers
Treasurer of Schools - Budgeting & Accounting,School Treasurer,11-3031.01,Treasurers and Controllers
Assistant School Treasurer - Part-Time Opportunity,School Treasurer,11-3031.01,Treasurers and Controllers
School Treasurer - Experience with School Finance Software,School Treasurer,11-3031.01,Treasurers and Controllers
"Senior Treasurer - Educational Institution (Chicago, IL)",School Treasurer,11-3031.01,Treasurers and Controllers
HR Personnel Assistant - Recruitment & Hiring,Personnel Assistant,43-3051.00,Payroll and Timekeeping Clerks
Personnel Assistant - Benefits Administration,Personnel Assistant,43-3051.00,Payroll and Timekeeping Clerks
"Assistant, Personnel - Employee Relations & Compliance",Personnel Assistant,43-3051.00,Payroll and Timekeeping Clerks
Personnel Assistant (Part-Time) - 20 hours/week,Personnel Assistant,43-3051.00,Payroll and Timekeeping Clerks
Military Personnel Assistant - Veterans' Services & Support,Personnel Assistant,43-3051.00,Payroll and Timekeeping Clerks
"Director, Regulatory Affairs & Quality Assurance - Medical Devices",Regulatory Affairs Quality Assurance Director (RA QA Director),11-9199.01,Regulatory Affairs Managers
Regulatory Affairs Quality Assurance Director (RA QA Director) - Pharmaceutical Industry,Regulatory Affairs Quality Assurance Director (RA QA Director),11-9199.01,Regulatory Affairs Managers
"Senior Director, RA QA - Compliance & Risk Management",Regulatory Affairs Quality Assurance Director (RA QA Director),11-9199.01,Regulatory Affairs Managers
Regulatory Affairs & Quality Assurance Director - Biotech Start-Up,Regulatory Affairs Quality Assurance Director (RA QA Director),11-9199.01,Regulatory Affairs Managers
"VP, Regulatory Affairs & QA - Global Team Leadership",Regulatory Affairs Quality Assurance Director (RA QA Director),11-9199.01,Regulatory Affairs Managers
Senior Systems Administrator (Linux/Windows) - Cloud Infrastructure,Systems Administrator (Systems Admin),15-1242.00,Database Administrators
Systems Administrator - Network Security & Firewall Management,Systems Administrator (Systems Admin),15-1242.00,Database Administrators
Junior Systems Administrator - Help Desk & Technical Support,Systems Administrator (Systems Admin),15-1242.00,Database Administrators
Systems Administrator (VMware) - Virtualization & Storage,Systems Administrator (Systems Admin),15-1242.00,Database Administrators
Lead Systems Administrator - IT Project Management & Team Lead,Systems Administrator (Systems Admin),15-1242.00,Database Administrators
Industrial Machinery Mechanic - Heavy Equipment Repair,Industrial Machinery Mechanic,49-9041.00,Industrial Machinery Mechanics
"Mechanic, Industrial Machinery - Manufacturing Facility",Industrial Machinery Mechanic,49-9041.00,Industrial Machinery Mechanics
Senior Industrial Machinery Mechanic - Troubleshooting & Maintenance,Industrial Machinery Mechanic,49-9041.00,Industrial Machinery Mechanics
Industrial Machinery Mechanic (Millwright) - Construction & Installation,Industrial Machinery Mechanic,49-9041.00,Industrial Machinery Mechanics
Maintenance Mechanic - Industrial Machinery & Automation Systems,Industrial Machinery Mechanic,49-9041.00,Industrial Machinery Mechanics
Sales Department Supervisor - Retail Operations,Sales Department Supervisor,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
"Supervisor, Sales Department - B2B Sales Experience Required",Sales Department Supervisor,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
Sales Team Lead (Supervisor) - High-Performing Team in Telecom,Sales Department Supervisor,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
"Department Supervisor - Sales Floor (Full-Time, M-F)",Sales Department Supervisor,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
"Sales Supervisor - Luxury Goods, High Commission Structure",Sales Department Supervisor,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
"Bindery Worker - 2nd Shift (Monday - Friday, 2:30 PM - 11:00 PM)",Bindery Worker,51-5113.00,Print Binding and Finishing Workers
Finishing Department: Bindery Worker Needed - No Experience Necessary,Bindery Worker,51-5113.00,Print Binding and Finishing Workers
"Bindery Worker - Folding, Cutting, and Assembly (Temporary Position)",Bindery Worker,51-5113.00,Print Binding and Finishing Workers
Entry-Level Bindery Worker - Printing Company in Downtown Area,Bindery Worker,51-5113.00,Print Binding and Finishing Workers
"Bindery Worker (Full-Time) - Benefits, Paid Time Off, and 401(k) Matching",Bindery Worker,51-5113.00,Print Binding and Finishing Workers
Information Security Analyst (Level 2) - Incident Response Team,Information Technology Security Analyst (IT Security Analyst),15-1212.00,Information Security Analysts
"Senior IT Security Analyst - Threat Intelligence, SIEM, and Compliance",Information Technology Security Analyst (IT Security Analyst),15-1212.00,Information Security Analysts
"IT Security Analyst - Cybersecurity, Network Security, and Penetration Testing",Information Technology Security Analyst (IT Security Analyst),15-1212.00,Information Security Analysts
Information Technology Security Analyst (ITSA) - DoD Clearance Required,Information Technology Security Analyst (IT Security Analyst),15-1212.00,Information Security Analysts
"Junior Information Security Analyst - Entry-Level, Training Provided (Cybersecurity)",Information Technology Security Analyst (IT Security Analyst),15-1212.00,Information Security Analysts
"Cocktail Server - High-Volume Nightclub (Friday - Sunday, 8:00 PM - 2:00 AM)",Cocktail Server,35-3031.00,Waiters and Waitresses
Part-Time Cocktail Server - Upscale Restaurant in Downtown Area,Cocktail Server,35-3031.00,Waiters and Waitresses
"Server, Cocktail - Fine Dining Experience Required (Full-Time, Benefits)",Cocktail Server,35-3031.00,Waiters and Waitresses
"Cocktail Server Wanted - Tips, Fun Work Environment, and Opportunities for Advancement",Cocktail Server,35-3031.00,Waiters and Waitresses
"Bartender/Cocktail Server - Dual Role, High-End Hotel (Seasonal Position)",Cocktail Server,35-3031.00,Waiters and Waitresses
"Licensed Family Therapist - Outpatient Services (Full-Time, Benefits)",Family Therapist,21-1013.00,Marriage and Family Therapists
"Family Therapist - Non-Profit Organization, Bilingual (Spanish/English) Preferred",Family Therapist,21-1013.00,Marriage and Family Therapists
"Therapist, Family - Private Practice, Flexible Schedule (Part-Time)",Family Therapist,21-1013.00,Marriage and Family Therapists
"Family Therapist (LCSW or LMFT) - School-Based Services, Full-Time",Family Therapist,21-1013.00,Marriage and Family Therapists
"Experienced Family Therapist - Group Practice, Competitive Salary and Benefits",Family Therapist,21-1013.00,Marriage and Family Therapists
"Travel Surgical Scrub Technician - $2,200/week",Surgical Scrub Technician (Surgical Scrub Tech),29-9093.00,Surgical Assistants
Surgical Scrub Tech - Full Time Opportunity in Busy OR,Surgical Scrub Technician (Surgical Scrub Tech),29-9093.00,Surgical Assistants
Certified Surgical Scrub Technician (CST) - perioperative services,Surgical Scrub Technician (Surgical Scrub Tech),29-9093.00,Surgical Assistants
"Surgical Scrub Technician - Cardiac Services, Part Time",Surgical Scrub Technician (Surgical Scrub Tech),29-9093.00,Surgical Assistants
Operating Room Surgical Scrub Technician (SST) - New Grads Welcome,Surgical Scrub Technician (Surgical Scrub Tech),29-9093.00,Surgical Assistants
Cabinet Installer - Residential Construction,Cabinet Installer,51-7011.00,Cabinetmakers and Bench Carpenters
Commercial Cabinet Installer - Experienced Carpenter Wanted,Cabinet Installer,51-7011.00,Cabinetmakers and Bench Carpenters
Journeyman Cabinet Installer - Custom Cabinetry Shop,Cabinet Installer,51-7011.00,Cabinetmakers and Bench Carpenters
Cabinet Installer/Laminate Technician - Manufacturing Environment,Cabinet Installer,51-7011.00,Cabinetmakers and Bench Carpenters
Lead Cabinet Installer - Foreman Opportunity in High-End Remodeling,Cabinet Installer,51-7011.00,Cabinetmakers and Bench Carpenters
"Tugboat Captain - Master/Mate 500/1600 Ton - Seattle, WA",Tugboat Captain,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
Harbor Tugboat Captain - Full Time Position Available,Tugboat Captain,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
Assistant Tugboat Captain - Steersman Opportunity,Tugboat Captain,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
Tugboat Captain (Master) - Oil Tanker Experience Required,Tugboat Captain,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
Senior Tugboat Captain - Marine Operations Manager Role,Tugboat Captain,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
Pediatric Critical Care Clinical Nurse Specialist - CNS,Critical Care Clinical Nurse Specialist,29-1141.04,Clinical Nurse Specialists
"Critical Care Clinical Nurse Specialist - Adult Services, FT",Critical Care Clinical Nurse Specialist,29-1141.04,Clinical Nurse Specialists
Neonatal Critical Care Clinical Nurse Specialist - NNP/CNS,Critical Care Clinical Nurse Specialist,29-1141.04,Clinical Nurse Specialists
"Clinical Nurse Specialist - Critical Care, Staff Development Focus",Critical Care Clinical Nurse Specialist,29-1141.04,Clinical Nurse Specialists
"Critical Care Clinical Nurse Specialist - Educator Opportunity, MSN Required",Critical Care Clinical Nurse Specialist,29-1141.04,Clinical Nurse Specialists
Director of Benefits & Compensation - Human Resources,Benefits Director,11-3111.00,Compensation and Benefits Managers
Benefits Director - Employee Benefits Administration,Benefits Director,11-3111.00,Compensation and Benefits Managers
"Senior Director, Benefits & Wellness - Strategic Leadership Role",Benefits Director,11-3111.00,Compensation and Benefits Managers
Employee Benefits Director - Global Benefits Management,Benefits Director,11-3111.00,Compensation and Benefits Managers
"Total Rewards Director (Benefits, Compensation, HRIS) - Chicago, IL",Benefits Director,11-3111.00,Compensation and Benefits Managers
Physics Lecturer - Tenure Track Position,Physics Lecturer,25-1054.00,"Physics Teachers, Postsecondary"
"Lecturer in Physics (Part-Time, Temporary) - Fall Semester",Physics Lecturer,25-1054.00,"Physics Teachers, Postsecondary"
Physics Lecturer Wanted - Dynamic University Setting,Physics Lecturer,25-1054.00,"Physics Teachers, Postsecondary"
Senior Lecturer in Physics Education - Leading Research Institution,Physics Lecturer,25-1054.00,"Physics Teachers, Postsecondary"
Physics Lecturer (Maternity Cover) - Immediate Start,Physics Lecturer,25-1054.00,"Physics Teachers, Postsecondary"
Adult Neurologist - General & Subspecialty Opportunities,Adult Neurologist,29-1217.00,Neurologists
"Neurologist (Adult) - Outpatient Clinic - $300,000+ Salary",Adult Neurologist,29-1217.00,Neurologists
Academic Adult Neurologist - Research Focus - Top Ranked University,Adult Neurologist,29-1217.00,Neurologists
Adult Neurology Physician - Join Our Growing Team (Sign-On Bonus),Adult Neurologist,29-1217.00,Neurologists
Senior Adult Neurologist - Leadership Role - Prestigious Hospital,Adult Neurologist,29-1217.00,Neurologists
Millwright Business Representative - Organizing & Recruiting,Millwright Business Representative,49-9044.00,Millwrights
Business Agent/Millwright Representative - Experienced Tradesperson,Millwright Business Representative,49-9044.00,Millwrights
Millwright Business Representative (Field Services) - Travel Required,Millwright Business Representative,49-9044.00,Millwrights
Assistant Business Manager - Millwright Division - Union Office,Millwright Business Representative,49-9044.00,Millwrights
Millwright Business Representative - Apprenticeship & Training Focus,Millwright Business Representative,49-9044.00,Millwrights
Maintenance Mechanic - 2nd Shift - Competitive Pay & Benefits,Maintenance Mechanic,49-9071.00,"Maintenance and Repair Workers, General"
Senior Maintenance Mechanic - Industrial Equipment Experience Required,Maintenance Mechanic,49-9071.00,"Maintenance and Repair Workers, General"
Maintenance Mechanic (Millwright) - Reliability & Efficiency Focus,Maintenance Mechanic,49-9071.00,"Maintenance and Repair Workers, General"
Entry-Level Maintenance Mechanic - On-The-Job Training Provided,Maintenance Mechanic,49-9071.00,"Maintenance and Repair Workers, General"
Maintenance Mechanic - HVAC & Plumbing Experience Preferred - Hospital Setting,Maintenance Mechanic,49-9071.00,"Maintenance and Repair Workers, General"
Orthopedic Team Physician - Professional Sports Team,Orthopedic Team Physician,29-1229.06,Sports Medicine Physicians
Team Physician - Orthopedic Surgeon - Collegiate Athletics,Orthopedic Team Physician,29-1229.06,Sports Medicine Physicians
Orthopedic Team Physician - Travel Opportunities - International Events,Orthopedic Team Physician,29-1229.06,Sports Medicine Physicians
Primary Care Orthopedic Team Physician - Military Base - Active Duty,Orthopedic Team Physician,29-1229.06,Sports Medicine Physicians
Orthopedic Team Physician - Research & Education Focus - Leading Medical Institution,Orthopedic Team Physician,29-1229.06,Sports Medicine Physicians
Automotive Instructor - High School Vocational Program,Automotive Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Part-Time Automotive Instructor - Adult Education Center,Automotive Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
ASE Certified Automotive Instructor Wanted - Post-Secondary Institution,Automotive Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
"Automotive Repair Instructor - Full-Time, Competitive Salary & Benefits",Automotive Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
